iter	Passed	Remaining
0	0	85
1	1	73
2	2	68
3	2	62
4	3	61
5	3	60
6	4	61
7	5	60
8	5	59
9	6	58
10	7	60
11	8	60
12	9	60
13	9	60
14	10	59
15	11	58
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	51
22	15	50
23	15	49
24	16	49
25	16	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	44
31	21	44
32	21	44
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
