iter	Passed	Remaining
0	1	1495
1	2	1244
2	3	1121
3	4	1046
4	4	991
5	5	936
6	6	901
7	7	876
8	7	864
9	8	853
10	9	843
11	10	836
12	10	826
13	11	816
14	12	808
15	13	802
16	13	797
17	14	793
18	15	808
19	16	819
20	17	814
21	18	809
22	18	805
23	19	798
24	20	794
25	21	791
26	21	788
27	22	782
28	23	779
29	24	777
30	24	775
31	25	773
32	26	774
33	27	775
34	28	778
35	29	782
36	30	788
37	31	794
38	32	796
39	33	797
40	34	796
41	34	795
42	35	795
43	36	797
44	37	796
45	38	797
46	39	797
47	40	798
48	41	800
49	42	801
50	43	803
51	44	802
52	45	806
53	46	809
54	47	810
55	48	809
56	48	808
57	49	806
58	50	805
59	51	802
60	52	802
61	53	802
62	53	801
63	54	799
64	55	799
65	56	800
66	57	800
67	58	801
68	59	803
69	60	806
70	61	809
71	62	811
72	63	810
73	64	811
74	65	810
75	66	812
76	67	812
77	68	808
78	69	806
79	69	804
80	70	801
81	71	797
82	71	791
83	72	789
84	73	787
85	74	787
86	75	788
87	76	789
88	77	788
89	77	788
90	78	785
91	79	783
92	80	782
93	80	780
94	81	777
95	82	775
96	83	772
97	83	771
98	84	768
99	85	765
100	85	763
101	86	761
102	87	758
103	87	756
104	88	754
105	89	754
106	90	753
107	91	752
108	91	751
109	92	748
110	93	746
111	93	744
112	94	742
113	95	740
114	96	738
115	96	737
116	97	734
117	97	732
118	98	730
119	99	728
120	100	726
121	100	724
122	101	722
123	102	721
124	102	720
125	103	721
126	104	718
127	105	717
128	106	716
129	106	714
130	107	712
131	108	711
132	108	709
133	109	707
134	110	706
135	110	704
136	111	702
137	112	701
138	113	700
139	113	699
140	115	701
141	115	698
142	116	698
143	117	697
144	118	697
145	119	696
146	119	695
147	120	694
148	121	692
149	122	691
150	122	690
151	123	689
152	124	687
153	124	685
154	125	683
155	126	682
156	126	680
157	127	678
158	127	676
159	128	675
160	129	673
161	130	673
162	131	673
163	131	671
164	132	670
165	133	669
166	134	671
167	136	674
168	136	673
169	137	671
170	138	670
